no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1093,2,195585,0,30100,5000,11560,13611,4886,0,0,565751,294194,4270489
1094,2,208943,0,0,7400,4930,5592,4849,0,0,603294,313717,3998455
1095,2,195585,14000,30100,2900,11120,15007,4188,0,0,587311,294194,4706793
1096,2,182715,0,30100,9800,6390,12388,4238,0,0,520561,270655,4107488
1097,6,368793,33100,15300,8154,0,23030,0,0,0,1280657,623616,7863521
1098,3,260736,7800,30100,4536,0,42798,0,0,0,796223,391883,5726434
1099,2,207188,21800,30100,6680,0,22772,0,0,0,662629,311144,4765989
1100,2,222203,0,0,8976,14700,0,0,0,0,639381,332482,4242379
1101,2,212453,11200,30100,4031,2500,30320,0,0,0,646214,318861,4774379
1102,2,212453,7800,30100,0,0,51165,0,0,0,513064,220728,4669168
1103,2,228053,29600,18100,3780,0,79662,0,0,0,733720,341865,5756941
1104,2,205433,0,30100,0,3600,112024,0,0,0,593400,308571,5411667
1105,2,220253,0,30100,3780,0,39142,0,0,0,634143,329758,4800361
1106,2,212453,0,30100,5040,2200,51394,0,0,0,613188,318861,4852221
1107,2,228053,0,30100,0,0,61757,0,0,0,657425,341865,5166602
1108,2,212453,0,30100,9800,0,51165,0,0,0,613188,318861,4880193
1109,2,202118,0,30100,2900,0,99378,0,0,0,583795,303577,5192372
1110,2,208943,0,30100,12060,2820,2088,0,0,0,603294,313717,4290019
1111,2,208943,0,30100,25818,0,2088,0,0,0,644577,313717,4462558
1112,2,202118,0,30100,3780,0,30864,0,0,0,583795,303577,4380764
1113,2,202118,0,0,3780,2500,119000,0,0,0,583795,303577,5107196
1114,2,202118,0,30100,7811,0,0,0,0,0,583795,303577,4058768
1115,2,202118,0,0,11046,0,59931,0,0,0,583795,303577,4455560
1116,2,202118,0,30100,3780,0,35843,0,0,0,583795,303577,4440512
1117,2,202118,0,30100,3780,0,36636,0,0,0,583795,303577,4450028
1118,2,216158,0,0,2900,2500,117994,0,0,0,623667,324310,5333857
1119,2,202118,0,30100,3780,0,29712,0,0,0,583795,303577,4366940
1120,2,202118,0,30100,8488,0,7212,0,0,0,583795,303577,4153436
1121,2,198803,0,30100,0,0,3546,0,0,0,574482,298734,3948876
1122,2,202118,0,0,3780,0,109044,0,0,0,583795,303577,4957724
1123,1,174832,0,0,3780,0,33188,0,0,0,496926,258366,3548640
1124,2,189540,21800,30100,23297,2520,13729,0,0,0,578951,283601,4538704
1125,2,231855,0,30100,7400,1320,126812,0,0,0,669066,347918,6120692
1126,2,202118,0,30100,3780,0,56394,0,0,0,583795,303577,4687124
1127,3,260736,29600,15300,19169,0,10048,0,0,0,840783,391883,5668982
1128,3,260736,15600,18100,0,220,35168,0,0,0,799501,391883,5547192
1129,3,265392,29600,15300,5000,0,16569,0,0,0,854134,398827,5660081
1130,3,276547,23100,30100,8590,2500,77065,0,0,0,869219,416641,6732168
1131,3,228241,0,30100,11591,2500,26957,0,0,0,650663,338190,4910177
1132,2,202118,0,0,9800,3280,28485,4332,0,0,583795,303577,4248056
1133,2,202118,0,30100,0,8750,5409,5054,0,0,583795,303577,4475960
1134,2,202118,0,0,0,9100,11540,5054,0,0,583795,303577,3912164
1135,2,202118,0,30100,9800,4380,5409,3971,0,0,583795,303577,4504760
1136,2,202118,0,0,5000,6210,13343,5776,0,0,583795,303577,4061240
1137,2,202118,0,0,14600,9100,13704,5054,0,0,583795,303577,4113332
1138,2,202118,0,0,12200,6510,9376,6859,0,0,583795,303577,4023176
1139,2,202118,37100,30100,5000,7250,13704,4332,0,0,693193,303577,4936490
1140,2,202118,0,30100,5000,10940,10818,5054,0,0,583795,303577,4346780
1141,2,202118,0,30100,5000,4440,5409,6498,0,0,583795,303577,4501568
1142,2,189540,0,30100,5000,13700,10484,4056,0,0,545379,283601,4136468
1143,2,189540,0,0,15600,15240,7102,5408,0,0,545379,283601,3896588
1144,2,189540,0,30100,7400,13580,13189,3718,0,0,545379,283601,4192232
1145,2,189540,0,30100,5000,12680,12513,5746,0,0,545379,283601,4168856
