no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1122,Åh02,202118,0,0,3780,0,109044,0,0,0,583795,303577,4957724
1123,Åh01,174832,0,0,3780,0,33188,0,0,0,496926,258366,3548640
1124,Åh02,189540,21800,30100,23297,2520,13729,0,0,0,578951,283601,4538704
1125,Åh02,231855,0,30100,7400,1320,126812,0,0,0,669066,347918,6120692
1126,Åh02,202118,0,30100,3780,0,56394,0,0,0,583795,303577,4687124
1127,Åh03,260736,29600,15300,19169,0,10048,0,0,0,840783,391883,5668982
1128,Åh03,260736,15600,18100,0,220,35168,0,0,0,799501,391883,5547192
1129,Åh03,265392,29600,15300,5000,0,16569,0,0,0,854134,398827,5660081
1130,Åh03,276547,23100,30100,8590,2500,77065,0,0,0,869219,416641,6732168
1131,Åh03,228241,0,30100,11591,2500,26957,0,0,0,650663,338190,4910177
1132,Åh02,202118,0,0,9800,3280,28485,4332,0,0,583795,303577,4248056
1133,Åh02,202118,0,30100,0,8750,5409,5054,0,0,583795,303577,4475960
1134,Åh02,202118,0,0,0,9100,11540,5054,0,0,583795,303577,3912164
1135,Åh02,202118,0,30100,9800,4380,5409,3971,0,0,583795,303577,4504760
1136,Åh02,202118,0,0,5000,6210,13343,5776,0,0,583795,303577,4061240
1137,Åh02,202118,0,0,14600,9100,13704,5054,0,0,583795,303577,4113332
1138,Åh02,202118,0,0,12200,6510,9376,6859,0,0,583795,303577,4023176
1139,Åh02,202118,37100,30100,5000,7250,13704,4332,0,0,693193,303577,4936490
1140,Åh02,202118,0,30100,5000,10940,10818,5054,0,0,583795,303577,4346780
1141,Åh02,202118,0,30100,5000,4440,5409,6498,0,0,583795,303577,4501568
1142,Åh02,189540,0,30100,5000,13700,10484,4056,0,0,545379,283601,4136468
1143,Åh02,189540,0,0,15600,15240,7102,5408,0,0,545379,283601,3896588
1144,Åh02,189540,0,30100,7400,13580,13189,3718,0,0,545379,283601,4192232
1145,Åh02,189540,0,30100,5000,12680,12513,5746,0,0,545379,283601,4168856
1146,Åh02,189540,0,0,7400,4060,6764,3718,0,0,545379,283601,3880724
1147,Åh02,195585,15600,30100,9800,7260,6980,4886,0,0,611751,294194,4520405
1148,Åh02,189540,14000,0,2900,2830,6764,3718,0,0,545379,283601,4000124
1149,Åh02,186225,0,0,14600,9500,16281,4316,0,0,545379,239960,4061375
1150,Åh01,174832,0,30100,9323,7130,7800,3744,0,0,496926,258366,4024476
1151,Åh01,166894,0,0,9800,6650,7743,3874,0,0,438398,86245,3104499
1152,Åh01,188650,29600,30100,20603,2030,23229,3370,0,0,628853,281578,4882959
1153,Åh01,174832,21800,0,5000,5080,4680,3744,0,0,550220,258366,3673358
1154,Åh01,174832,0,0,7400,4380,4680,4056,0,0,496926,258366,3452256
1155,Åh01,174832,14000,30100,5000,6880,8424,4680,0,0,538208,258366,4217762
1156,Åh01,174832,0,0,12200,5790,8112,4056,0,0,496926,258366,3709416
1157,Åh01,174832,21800,30100,17000,5360,4680,4368,0,0,530498,258366,4169684
1158,Åh06,405327,34600,15300,7400,0,32544,0,0,0,1447676,700658,8723878
1159,Åh06,404209,52100,15300,9504,0,25242,0,0,0,1494296,698064,8925704
1160,Åh02,228053,0,18100,3780,0,0,0,0,0,657425,341865,4326878
1161,Åh03,263064,0,0,9225,0,4694,0,0,0,748062,388680,4839342
1162,Åh02,228053,0,0,5000,2500,126922,0,0,0,657425,341865,5677382
1163,Åh02,212453,0,30100,7056,0,112038,0,0,0,608258,316145,5570095
1164,Åh02,205433,0,18100,11903,0,35330,0,0,0,589596,306475,4441075
1165,Åh03,241433,7800,18100,3780,0,144572,0,0,0,710868,357487,6415459
1166,Åh02,228053,0,30100,0,2500,55166,0,0,0,657425,341865,5117510
1167,Åh03,232703,7800,18100,13613,3600,268618,0,0,0,686153,344677,8044878
1168,Åh02,216158,0,0,13608,0,6016,0,0,0,239938,0,3380578
1169,Åh02,205433,0,30100,3780,2500,114378,0,0,0,589596,306475,5466175
1170,Åh03,263064,7800,15300,4031,0,22811,0,0,0,771062,388680,5305850
1171,Åh02,212453,0,30100,0,2820,43818,0,0,0,613188,318861,4708269
1172,Åh02,220253,11200,15300,9575,0,31986,0,0,0,667169,329758,4789983
1173,Åh02,243360,0,0,13581,0,0,0,0,0,703696,365927,4503351
1174,Åh02,198803,0,30100,3780,0,52768,0,0,0,571805,297259,4580748
1175,Åh03,232703,0,30100,8550,2700,124560,0,0,0,663153,344677,6126274
1176,Åh03,232703,0,18100,6800,4140,47082,0,0,0,663153,344677,5048818
1177,Åh02,235755,0,30100,8590,0,69984,0,0,0,680707,353971,5507306
1178,Åh02,228053,14000,30100,3780,0,46220,0,0,0,698708,341865,5254961
1179,Åh02,203775,7800,15300,16631,2500,12944,0,0,0,188129,88816,3689013
1180,Åh02,207188,21800,30100,3780,0,25208,0,0,0,613984,308892,4709524
1181,Åh02,220253,0,15300,5040,0,0,0,0,0,521749,175354,3901379
1182,Åh02,212453,0,30100,7056,0,13494,0,0,0,613188,318861,4395213
1183,Åh02,243360,0,30100,5000,0,58532,0,0,0,703696,365927,5463963
1184,Åh02,220253,0,30100,9833,3060,58474,0,0,0,634143,329758,5141701
1185,Åh02,192465,0,30100,0,0,49994,0,0,0,552074,287039,4386961
1186,Åh02,192465,0,0,15319,0,13943,0,0,0,552074,287039,3776977
1187,Åh02,192465,0,0,3780,0,0,0,0,0,552074,287039,3471193
1188,Åh02,192465,0,0,14859,0,74449,0,0,0,552074,287039,4497529
1189,Åh02,192465,0,0,9963,0,43674,0,0,0,552074,287039,4069477
1190,Åh02,192465,0,0,17988,0,22528,0,0,0,552074,287039,3912025
