no,level,salary,huyou,tiiki,jukyo,tsukin,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
1663,”01,154500,0,23175,0,15097,0,2830,0,0,0,0,0,195602,0,0,2347224
1664,”01,154500,0,23175,0,22536,0,0,0,0,0,0,0,200211,0,0,2402532
1665,”01,235100,0,35265,0,0,0,0,0,0,0,0,0,270365,0,0,3244380
1666,”01,188400,0,28260,0,25850,0,6904,0,0,0,0,0,249414,0,0,2992968
1667,”01,188400,0,28260,0,14716,0,3452,0,0,0,0,0,234828,0,0,2817936
1668,”01,170300,0,25545,0,31824,0,3120,0,0,0,0,0,230789,0,0,2769468
1669,”01,170300,0,25545,0,11770,0,3120,0,0,0,0,0,210735,0,0,2528820
1670,”01,170300,0,25545,0,13568,0,6240,0,0,0,0,0,215653,0,0,2587836
1671,”01,214900,0,32235,0,18078,0,5904,0,0,0,0,0,271117,0,0,3253404
1672,”01,188400,0,28260,0,11607,0,8630,0,0,0,0,0,236897,0,0,2842764
1673,”01,190700,0,28605,0,10000,0,0,0,0,0,0,0,229305,0,0,2751660
1674,”06,409267,0,73535,0,7452,0,0,0,0,80967,0,0,571221,0,0,6854652
1675,”01,200100,0,30015,28000,15251,0,0,0,0,0,0,0,273366,0,0,3280392
1676,”01,188400,0,28260,0,7080,0,0,0,0,0,0,0,223740,0,0,2684880
1677,”01,188400,0,28260,0,2000,0,3452,0,0,0,0,0,222112,0,0,2665344
1678,”01,188400,0,28260,30100,3876,0,0,0,0,0,0,0,250636,0,0,3007632
1679,”01,200100,0,30015,0,12836,0,7332,0,0,0,0,0,250283,0,0,3003396
1680,”01,188400,0,28260,0,0,0,7386,0,0,0,0,0,224046,0,0,2688552
1681,”01,188400,0,28260,0,5170,0,0,0,0,0,0,0,221830,0,0,2661960
1682,”01,188400,0,28260,0,0,2700,0,0,0,0,0,0,219360,0,0,2632320
1683,”01,188400,0,28260,0,8616,0,14220,0,0,0,0,0,239496,0,0,2873952
1684,”01,188400,0,28260,0,12353,0,0,0,0,0,0,0,229013,0,0,2748156
1685,”08,462851,0,85679,0,10426,0,0,0,0,108350,0,0,667306,0,0,8007672
1686,”07,452311,11000,83059,0,8726,0,0,0,0,90423,0,0,645519,0,0,7746228
1687,”04,366100,0,54915,0,3876,0,0,0,0,0,0,0,424891,0,0,5098692
1688,”04,395800,11000,61020,28000,17060,0,10875,0,0,0,0,0,523755,0,0,6285060
1689,”04,389400,0,58410,0,10206,0,39237,0,0,0,0,0,497253,0,0,5967036
1690,”03,254400,0,38160,0,7100,1190,9786,32721,3262,0,0,0,346619,0,0,4159428
