no,level,salary,huyou,tiiki,jukyo,tsukin,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
154,”06,426307,25300,79885,9800,4200,0,0,0,0,80967,0,0,626459,1563116,875705,9956329
155,”06,426307,11000,77740,15300,11328,0,0,0,0,80967,0,0,622642,1539777,979407,9990888
156,”08,462851,25300,89474,9800,17209,0,0,0,0,108350,0,0,712984,1698254,1089120,11343182
166,”03,364200,0,54630,9800,8838,0,0,0,0,0,0,0,437468,1088957,712011,7050584
172,”03,364200,11000,56280,9800,7100,0,10008,18015,12673,0,0,0,489076,1130817,712011,7711740
176,”05,386900,48900,65370,9800,7100,1000,73285,0,0,0,0,0,592355,1409066,829232,9346558
178,”05,411000,11000,63300,9800,7100,0,69877,0,0,0,0,0,572077,1393638,883855,9142417
179,”04,370700,11000,57255,15300,2000,0,75647,0,0,0,0,0,531902,1205672,760954,8349450
180,”04,395800,0,59370,0,12492,0,105125,0,0,0,0,0,572787,1301785,851167,9026396
181,”04,389400,25300,62205,0,2000,0,32961,0,0,0,0,0,511866,1360868,837403,8340663
185,”04,389400,0,58410,0,4200,0,99876,0,0,0,0,0,551886,1280735,837403,8740770
186,”03,364200,0,54630,15300,0,0,0,0,0,0,0,0,434130,986344,301557,6497461
191,”06,415768,25300,78305,9800,15943,0,0,0,0,80967,0,0,626083,1558764,966798,10038558
193,”04,370700,0,55605,9800,12900,0,0,0,0,0,0,0,449005,1055768,690310,7134138
195,”06,426307,11000,77740,9800,7100,0,0,0,0,80967,0,0,612914,1539777,979407,9874152
196,”05,411000,14300,63795,15300,0,0,0,0,0,0,0,0,504395,1390050,883855,8326645
198,”06,426307,11000,77740,0,2000,0,0,0,0,80967,0,0,598014,1562100,994003,9732271
199,”05,411000,11000,63300,9800,12781,0,767133,0,0,0,0,0,1275014,1393638,883855,17577661
200,”04,395800,25300,63165,15300,10998,0,7975,0,0,0,0,0,518538,1392906,851167,8466529
202,”04,370700,11000,57255,9800,27038,0,42376,0,0,0,0,0,518169,1243944,760954,8222926
203,”04,370700,18500,58380,15300,0,0,0,0,0,0,0,0,462880,1267265,760954,7582779
204,”08,471026,11000,88555,15300,8838,0,0,0,0,108350,0,0,703069,1501757,1399685,11338270
205,”07,452311,0,81409,9800,4200,0,0,0,0,90423,0,0,638143,1618123,1058003,10333842
206,”06,411828,0,73919,0,12492,0,0,0,0,80967,0,0,579206,1444064,944195,9338731
207,”08,471026,25300,90700,15300,6805,0,0,0,0,108350,0,0,717481,1534141,1399685,11543598
208,”06,426307,11000,77740,9800,5170,0,0,0,0,80967,0,0,610984,1539777,1008213,9879798
209,”08,471026,11000,88555,15300,0,0,0,0,0,108350,0,0,694231,1501757,1399685,11232214
210,”07,434680,0,78765,15300,3876,0,0,0,0,90423,0,0,623044,1551618,1014520,10042666
211,”07,452311,11000,83059,9800,4666,0,0,0,0,90423,0,0,651259,1659982,1058003,10533093
212,”08,471026,14300,89050,0,4200,0,0,0,0,108350,0,0,686926,1498721,1399685,11141518
215,”08,471026,11000,88555,9800,5170,0,0,0,0,108350,0,0,693901,1501757,1399685,11228254
216,”03,364200,11000,56280,9800,0,0,0,0,0,0,0,0,441280,1130817,598926,7025103
217,”07,434680,11000,80415,15300,4200,0,0,0,0,90423,0,0,636018,1593478,1014520,10240214
220,”05,411000,11000,63300,15300,7452,0,34787,0,0,0,0,0,542839,1393638,883855,8791561
221,”05,411000,14300,63795,15300,2000,0,250598,0,0,0,0,0,756993,1390050,883855,11357821
223,”03,364200,11000,56280,15300,8616,0,40032,0,0,0,0,0,495428,1108680,712011,7765827
225,”03,364200,0,54630,9800,8335,0,10008,0,0,0,0,0,446973,1088957,712011,7164644
226,”07,439900,14300,81900,15300,4200,0,0,0,0,91800,0,0,647400,1558512,1023238,10350550
228,”03,364200,9200,56010,30100,10206,0,27488,0,0,0,0,0,497204,1122445,636621,7725514
229,”05,403900,0,60585,0,4200,0,45732,0,0,0,0,0,514417,1328424,868585,8370013
230,”03,364200,0,54630,9800,2000,0,34960,0,0,0,0,0,465590,1088957,712011,7388048
233,”03,364200,11000,56280,15300,4200,0,27622,43236,6670,0,0,0,528508,1130817,712011,8184924
234,”05,411000,11000,63300,9800,7100,3140,18825,0,8283,0,0,0,532448,1393638,883855,8666869
235,”05,411000,39600,67590,15300,9336,7000,18825,44726,8283,0,0,0,621660,1470182,883855,9813957
236,”06,414389,11000,75953,9800,7100,1430,0,0,0,80967,0,0,600639,1494729,949952,9652349
237,”04,370700,11000,57255,9800,7100,0,25806,0,0,0,0,0,481661,1097628,690310,7567870
239,”04,389400,11000,60060,9800,4200,3000,14981,0,7843,0,0,0,500284,1360868,837403,8201679
240,”06,421185,0,75322,9800,4200,150,0,0,0,80967,0,12000,603624,1480305,967891,9691684
241,”03,364200,11000,56280,9800,12900,450,24019,39633,10005,0,0,0,528287,1130817,712011,8182272
244,”05,411000,0,61650,28000,7100,0,53462,0,0,0,0,0,561212,1351778,883855,8970177
245,”05,403900,36100,66000,15300,4200,10800,23680,43956,12580,0,0,0,616516,1427394,868585,9694171
249,”04,395800,11000,61020,0,4405,0,14500,0,0,0,0,0,486725,1343646,851167,8035513
250,”04,387500,25300,61920,9800,2000,600,10647,19165,8520,0,0,0,525452,1369718,827942,8503084
251,”07,452311,11000,83059,15300,7080,0,0,0,0,90423,0,0,659173,1659982,1058003,10628061
252,”05,411000,11000,63300,9800,4200,6300,11295,12198,9036,0,0,0,538129,1393638,883855,8735041
253,”05,411000,25300,65445,0,10000,1740,41415,0,8283,0,0,0,563183,1470182,883855,9112233
254,”03,364200,34600,59820,15300,4200,150,10008,0,7337,0,0,0,495615,1192411,712011,7851802
255,”03,364200,47100,61695,9800,2000,5100,13344,0,5336,0,0,0,508575,1267161,712011,8082072
256,”04,395800,29600,63810,9800,7100,1140,21750,0,9425,0,0,0,538425,1390289,851167,8702556
257,”06,426307,0,76090,15300,2000,0,0,0,0,80967,0,12000,612664,1497917,979407,9829292
258,”05,411000,25300,65445,9800,10000,750,15060,20330,9789,0,0,0,567474,1431910,883855,9125453
259,”04,395800,25300,63165,9800,0,300,21750,0,7975,0,0,0,524090,1381918,851167,8522165
260,”05,411000,0,61650,9800,12900,1400,35691,12198,8283,0,0,0,552922,1351778,883855,8870697
261,”07,434680,11000,80415,15300,4200,0,0,0,0,90423,0,0,636018,1593478,1014520,10240214
262,”08,471026,11000,88555,15300,4200,0,0,0,0,108350,0,0,698431,1501757,1433011,11315940
263,”05,411000,20300,64695,15300,4200,0,0,0,0,0,0,0,515495,1455232,883855,8525027
264,”04,395800,11000,61020,9800,11215,0,145870,0,0,0,0,0,634705,1343646,851167,9811273
265,”06,426307,11000,77740,15300,6453,0,0,0,0,80967,0,0,617767,1578049,979407,9970660
266,”04,395800,39600,65310,15300,2000,0,37410,0,0,0,0,0,555420,1420190,851167,8936397
267,”03,364200,9200,56010,0,3876,0,0,0,0,0,0,0,433286,0,0,5199432
268,”05,411000,11000,63300,15300,7975,0,15962,0,0,0,0,0,524537,1393638,883855,8571937
269,”07,452311,9200,82789,9800,11500,0,0,0,0,90423,0,0,656023,1651611,1058003,10581890
270,”05,411000,39600,67590,9800,13441,0,3765,0,0,0,0,0,545196,1470182,883855,8896389
271,”03,364200,0,54630,15300,8616,0,0,0,0,0,0,0,442746,1088957,712011,7113920
272,”04,395800,34600,64560,9800,4200,0,8120,0,0,0,0,0,517080,1405239,851167,8461366
273,”06,418100,0,75045,0,4200,0,0,0,0,82200,0,0,579545,1351778,883855,9190173
274,”05,411000,39600,67590,15300,4200,0,56924,0,0,0,0,0,594614,1470182,883855,9489405
275,”04,395800,25300,63165,15300,7080,0,62640,0,0,0,0,0,569285,1381918,851167,9064505
276,”03,364200,0,54630,15300,3103,0,0,0,0,0,0,0,437233,460713,301557,6009066
277,”08,462851,11000,87329,9800,17470,0,0,0,0,108350,0,0,696800,1598304,1047606,11007510
278,”04,395800,39600,65310,15300,8838,0,78735,0,0,0,0,0,603583,1405239,851167,9499402
280,”04,395800,25300,63165,15300,2000,0,54810,0,0,0,0,0,556375,1381918,851167,8909585
281,”06,411828,25300,77714,15300,4200,0,0,0,0,80967,0,0,615309,1431910,883855,9699473
282,”06,426307,39600,82030,9800,14443,0,0,0,0,80967,0,0,653147,1616321,1008213,10462298
283,”04,370700,0,55605,9800,7100,0,0,0,0,0,0,0,443205,1163811,760954,7243225
284,”06,426307,0,76090,9800,6792,0,0,0,0,80967,0,0,599956,1497917,979407,9676796
286,”05,402600,0,60390,15300,4200,0,112560,0,0,0,0,0,595050,1320204,863209,9324013
287,”03,364200,0,54630,0,2000,0,16680,0,0,0,0,0,437510,1088957,712011,7051088
288,”03,364200,9200,56010,15300,7452,0,0,0,0,0,0,0,452162,1122445,712011,7260400
289,”05,411000,25300,65445,9800,4666,0,3765,0,0,0,0,0,519976,1431910,883855,8555477
290,”06,426307,11000,77740,9800,16770,0,0,0,0,80967,0,0,622584,1539777,1008213,10018998
292,”03,364200,0,54630,30100,4200,840,40032,0,9338,0,0,0,503340,1088957,712011,7841048
295,”06,426307,0,76090,28000,5170,0,0,0,0,80967,0,0,616534,1497917,979407,9875732
296,”07,436059,25300,82766,9800,3876,0,0,0,0,90423,0,0,648224,1659897,1017674,10456259
297,”07,452311,25300,85204,9800,4200,0,0,0,0,90423,0,0,667238,1698254,1058003,10763113
298,”05,411000,0,61650,9800,22442,0,22590,0,0,0,0,0,527482,1390050,863058,8582892
299,”07,451720,11000,82970,9800,4200,0,0,0,0,90423,0,0,650113,1657915,1056652,10515923
300,”04,395800,0,59370,0,3876,0,0,0,0,0,0,0,459046,1301785,851167,7661504
301,”05,411000,25300,65445,15300,3876,0,0,0,0,0,0,0,520921,1431910,883855,8566817
303,”06,426307,25300,79885,15300,3103,0,0,0,0,80967,0,0,630862,1563099,979407,10112850
304,”04,395800,0,59370,9800,0,0,0,0,0,0,0,0,464970,1301785,851167,7732592
305,”03,364200,0,54630,0,12360,0,6672,0,0,0,0,0,437862,1088957,712011,7055312
306,”04,395800,37900,65055,9800,7999,0,32625,0,0,0,0,0,549179,1400755,851167,8842070
307,”04,395800,0,59370,0,14446,0,709648,0,0,0,0,0,1179264,1301785,851167,16304120
308,”06,413207,0,74126,9800,3876,0,0,0,0,80967,0,0,581976,1448128,946853,9378693
309,”06,423300,11000,77475,0,11116,0,0,0,0,82200,0,0,605091,1558764,966798,9786654
311,”04,370700,11000,57255,15300,2000,0,10594,0,0,0,0,0,466849,1205672,760954,7568814
312,”04,370700,11000,57255,28000,7100,0,0,0,0,0,0,0,474055,1205672,760954,7655286
313,”03,364200,25300,58425,15300,4200,450,10008,0,8004,0,0,0,485887,1154139,712011,7696794
314,”04,395800,34600,64560,15300,2000,2550,15225,11745,7975,0,0,0,549755,1390289,851167,8838516
315,”05,403900,9200,61965,15300,4200,4000,14800,43956,8880,0,0,0,566201,1361912,868585,9024909
316,”06,432800,34600,82440,15300,8154,0,0,0,0,82200,0,0,655494,1623694,994003,10483625
317,”03,364200,42900,61065,9800,7100,650,10008,39633,6670,0,0,0,542026,1172976,712011,8389299
318,”03,364200,25300,58425,9800,7100,1190,36696,0,8004,0,0,0,510715,1169089,712011,8009680
321,”05,411000,0,61650,15300,0,0,15813,52858,15813,0,0,0,572434,1351778,883855,9104841
322,”04,395800,14300,61515,9800,4200,12500,18850,46980,9425,0,0,0,573370,1340057,851167,9071664
323,”03,364200,11000,56280,0,12031,0,10008,0,0,0,0,0,453519,1130817,712011,7285056
324,”03,364200,14300,56775,9800,4200,1780,10008,43236,10005,0,0,0,514304,1165501,712011,8049160
325,”03,364200,0,54630,0,3880,0,0,0,0,0,0,0,422710,345534,263862,5681916
326,”05,411000,20300,64695,9800,21517,0,35540,0,0,0,0,0,562852,1416960,883855,9055039
327,”04,389400,14300,60555,30100,13362,0,49938,0,0,0,0,0,557655,1319007,837403,8848270
328,”07,450932,25300,84997,28000,15397,0,0,0,0,90423,0,0,695049,1731702,1054848,11127138
329,”05,411000,0,61650,0,2000,0,52710,0,0,0,0,0,527360,1351778,883855,8563953
330,”04,395800,0,59370,0,2000,0,37120,0,0,0,0,0,494290,1301785,851167,8084432
331,”03,364200,0,54630,30100,15291,0,24153,0,0,0,0,0,488374,1088957,712011,7661456
334,”03,364200,0,54630,9800,15800,1370,34961,46839,9338,0,0,0,536938,1108680,712011,8263947
335,”04,395800,29600,63810,9800,10000,1590,29000,11745,9425,0,0,0,560770,1390289,851167,8970696
336,”05,411000,34600,66840,15300,2000,900,11295,12198,7530,0,0,0,561663,1455232,883855,9079043
337,”04,370700,0,55605,9800,7100,0,25806,0,0,0,0,0,469011,1055768,690310,7374210
338,”03,364200,0,54630,0,27715,0,0,0,0,0,0,0,446545,1088957,712011,7159508
339,”04,382500,30500,61950,9800,10000,0,42048,0,14721,0,0,0,551519,1175667,712011,8505906
340,”06,413207,11000,75776,9800,5170,0,0,0,0,80967,0,0,595920,1489989,946853,9587882
341,”04,395800,0,59370,28000,12538,0,29000,0,0,0,0,0,524708,1301785,851167,8449448
342,”06,426307,0,76090,9800,25352,0,0,0,0,80967,0,0,618516,1520240,994003,9936435
343,”05,411000,0,61650,9800,9776,0,102557,0,0,0,0,0,594783,1351778,883855,9373029
344,”07,434680,11000,80415,9800,9238,0,0,0,0,90423,0,0,635556,1593478,1014520,10234670
346,”05,411000,37900,67335,9800,2000,0,0,0,0,0,0,0,528035,1450747,883855,8671022
347,”04,395800,11000,61020,9800,7100,0,0,0,0,0,0,0,484720,1343646,851167,8011453
349,”07,449356,0,80966,0,3876,0,0,0,0,90423,0,0,624621,1607787,1051244,10154483
350,”07,434680,11000,80415,9800,10206,0,0,0,0,90423,0,5000,641524,1593478,1014520,10306286
351,”03,364200,0,54630,0,5170,0,43368,0,0,0,0,0,467368,1088957,712011,7409384
352,”07,439900,11000,81405,9800,4200,0,0,0,0,91800,0,5000,643105,1573598,989731,10280589
353,”04,395800,11000,61020,15300,4200,0,133690,0,0,0,0,0,621010,1343646,851167,9646933
354,”03,364200,0,54630,30100,3876,0,13344,0,0,0,0,0,466150,1088957,712011,7394768
355,”06,426600,0,76320,9800,13227,0,0,0,0,82200,0,0,608147,1498920,980063,9776747
356,”03,364200,0,54630,9800,5170,960,6672,0,0,0,0,0,441432,1088957,712011,7098152
357,”06,423300,32800,80745,9800,10000,0,0,0,0,82200,0,0,638845,1567136,995233,10228509
358,”06,418100,9300,76440,9800,7170,0,0,0,0,82200,0,0,603010,1413372,883855,9533347
359,”05,411000,0,61650,9800,3876,0,18825,0,0,0,0,0,505151,1351778,883855,8297445
360,”03,364200,0,54630,0,10956,0,54978,0,0,0,0,0,484764,1088957,712011,7618136
361,”04,389400,14300,60555,9800,18118,0,14268,0,0,0,0,0,506441,1319007,837403,8233702
362,”05,411000,0,61650,28000,7100,0,0,0,0,0,0,0,507750,1351778,883855,8328633
363,”08,462851,25300,89474,9800,13042,0,0,0,0,108350,0,0,708817,1509320,1375993,11391117
364,”07,439300,25300,83460,9800,20143,0,0,0,0,91800,0,0,669803,1579052,1008888,10625576
365,”04,395800,28600,63660,9800,22786,0,10875,0,0,0,0,0,531521,1363379,851167,8592798
366,”06,426307,0,76090,9800,14521,0,0,0,0,80967,0,0,607685,1497917,1008213,9798350
367,”06,426307,14300,78235,9800,4200,0,0,0,0,80967,0,0,613809,1558512,994003,9918223
368,”05,411000,16200,64080,15300,2000,0,0,0,0,0,0,0,508580,1400216,883855,8387031
369,”07,438817,28600,83675,9800,18253,0,0,0,0,90423,0,0,669568,1661040,1036016,10731872
370,”04,395800,0,59370,0,15110,0,50750,0,0,0,0,0,521030,1301785,851167,8405312
371,”08,471026,30500,91480,9800,13786,0,0,0,0,108350,0,0,724942,1561485,1454293,11715082
372,”06,426307,34600,81280,9800,20116,0,0,0,0,80967,0,0,653070,1661069,994003,10491912
